Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
41,false,119,3,2,3,0,c2,null
41,false,120,0,2,3,0,c1,null
41,false,120,1,2,3,0,g1,null
41,false,120,2,2,3,0,c2,null
41,false,120,3,2,3,0,g2,null
41,true,0,0,3,2,0,g2,left
41,false,121,0,3,2,0,g1,null
41,false,121,1,3,2,0,c2,null
41,false,121,2,3,2,0,c1,null
41,false,121,3,3,2,0,g2,null
41,false,122,0,3,2,0,c2,null
41,false,122,1,3,2,0,g1,null
41,false,122,2,3,2,0,g2,null
41,false,122,3,3,2,0,c1,null
41,false,123,0,3,2,0,c1,null
41,false,123,1,3,2,0,g1,null
41,false,123,2,3,2,0,g2,null
41,false,123,3,3,2,0,c2,null
41,false,124,0,3,2,0,c1,null
41,false,124,1,3,2,0,g1,null
41,false,124,2,3,2,0,c2,null
41,false,124,3,3,2,0,g2,null
41,false,125,0,3,2,0,c2,null
41,false,125,1,3,2,0,g1,null
41,false,125,2,3,2,0,g2,null
41,false,125,3,3,2,0,c1,null
41,false,126,0,3,2,0,g2,null
41,false,126,1,3,2,0,g1,null
41,false,126,2,3,2,0,c1,null
41,false,126,3,3,2,0,c2,null
41,false,127,0,3,2,0,c2,null
41,false,127,1,3,2,0,c1,null
41,false,127,2,3,2,0,g1,null
41,false,127,3,3,2,0,g2,null
41,false,128,0,3,2,0,g2,null
41,false,128,1,3,2,0,c1,null
41,false,128,2,3,2,0,c2,null
41,false,128,3,3,2,0,g1,null
41,false,129,0,3,2,0,g1,null
41,false,129,1,3,2,0,g2,null
41,false,129,2,3,2,0,c2,null
41,false,129,3,3,2,0,c1,null
41,false,130,0,3,2,0,c1,null
41,false,130,1,3,2,0,g2,null
41,false,130,2,3,2,0,g1,null
41,false,130,3,3,2,0,c2,null
41,true,0,0,3,2,1,g2,left
41,false,131,0,3,2,1,g2,null
41,false,131,1,3,2,1,c2,null
41,false,131,2,3,2,1,c1,null
41,false,131,3,3,2,1,g1,null
41,false,132,0,3,2,1,c1,null
41,false,132,1,3,2,1,c2,null
41,false,132,2,3,2,1,g2,null
41,false,132,3,3,2,1,g1,null
41,false,133,0,3,2,1,g1,null
41,false,133,1,3,2,1,g2,null
41,false,133,2,3,2,1,c2,null
41,false,133,3,3,2,1,c1,null
41,false,134,0,3,2,1,c1,null
41,false,134,1,3,2,1,c2,null
41,false,134,2,3,2,1,g2,null
41,false,134,3,3,2,1,g1,null
41,false,135,0,3,2,1,g1,null
41,false,135,1,3,2,1,g2,null
41,false,135,2,3,2,1,c2,null
41,false,135,3,3,2,1,c1,null
41,false,136,0,3,2,1,g1,null
41,false,136,1,3,2,1,c2,null
41,false,136,2,3,2,1,c1,null
41,false,136,3,3,2,1,g2,null
41,false,137,0,3,2,1,c1,null
41,false,137,1,3,2,1,c2,null
41,false,137,2,3,2,1,g1,null
41,false,137,3,3,2,1,g2,null
41,false,138,0,3,2,1,c2,null
41,false,138,1,3,2,1,c1,null
41,false,138,2,3,2,1,g1,null
41,false,138,3,3,2,1,g2,null
41,false,139,0,3,2,1,c2,null
41,false,139,1,3,2,1,g1,null
41,false,139,2,3,2,1,g2,null
41,false,139,3,3,2,1,c1,null
41,false,140,0,3,2,1,g1,null
41,false,140,1,3,2,1,c2,null
41,false,140,2,3,2,1,c1,null
41,false,140,3,3,2,1,g2,null
41,true,0,0,3,3,1,c2,left
41,false,141,0,3,3,1,c1,null
41,false,141,1,3,3,1,g1,null
41,false,141,2,3,3,1,g2,null
41,false,141,3,3,3,1,c2,null
41,false,142,0,3,3,1,c2,null
41,false,142,1,3,3,1,c1,null
41,false,142,2,3,3,1,g1,null
41,false,142,3,3,3,1,g2,null
41,false,143,0,3,3,1,g1,null
41,false,143,1,3,3,1,g2,null
41,false,143,2,3,3,1,c2,null
41,false,143,3,3,3,1,c1,null
41,false,144,0,3,3,1,g2,null
41,false,144,1,3,3,1,c2,null
41,false,144,2,3,3,1,c1,null
41,false,144,3,3,3,1,g1,null
41,false,145,0,3,3,1,c2,null
41,false,145,1,3,3,1,g2,null
41,false,145,2,3,3,1,g1,null
41,false,145,3,3,3,1,c1,null
41,false,146,0,3,3,1,c1,null
41,false,146,1,3,3,1,g1,null
41,false,146,2,3,3,1,c2,null
41,false,146,3,3,3,1,g2,null
41,false,147,0,3,3,1,c1,null
41,false,147,1,3,3,1,g1,null
41,false,147,2,3,3,1,g2,null
41,false,147,3,3,3,1,c2,null
41,false,148,0,3,3,1,c1,null
41,false,148,1,3,3,1,g2,null
41,false,148,2,3,3,1,c2,null
41,false,148,3,3,3,1,g1,null
41,false,149,0,3,3,1,g1,null
41,false,149,1,3,3,1,c1,null
41,false,149,2,3,3,1,c2,null
41,false,149,3,3,3,1,g2,null
41,false,150,0,3,3,1,g2,null
41,false,150,1,3,3,1,c2,null
41,false,150,2,3,3,1,g1,null
41,false,150,3,3,3,1,c1,null
41,true,0,0,3,3,0,g2,left
41,false,151,0,3,3,0,g1,null
41,false,151,1,3,3,0,c1,null
41,false,151,2,3,3,0,c2,null
41,false,151,3,3,3,0,g2,null
41,false,152,0,3,3,0,g2,null
41,false,152,1,3,3,0,c2,null
41,false,152,2,3,3,0,g1,null
41,false,152,3,3,3,0,c1,null
41,false,153,0,3,3,0,c2,null
41,false,153,1,3,3,0,g1,null
41,false,153,2,3,3,0,c1,null
41,false,153,3,3,3,0,g2,null
41,false,154,0,3,3,0,g1,null
41,false,154,1,3,3,0,c1,null
41,false,154,2,3,3,0,g2,null
41,false,154,3,3,3,0,c2,null
41,false,155,0,3,3,0,c2,null
41,false,155,1,3,3,0,c1,null
41,false,155,2,3,3,0,g1,null
41,false,155,3,3,3,0,g2,null
41,false,156,0,3,3,0,g2,null
41,false,156,1,3,3,0,c1,null
41,false,156,2,3,3,0,c2,null
41,false,156,3,3,3,0,g1,null
41,false,157,0,3,3,0,c1,null
41,false,157,1,3,3,0,g1,null
41,false,157,2,3,3,0,c2,null
41,false,157,3,3,3,0,g2,null
41,false,158,0,3,3,0,g1,null
41,false,158,1,3,3,0,c2,null
41,false,158,2,3,3,0,c1,null
41,false,158,3,3,3,0,g2,null
41,false,159,0,3,3,0,c2,null
41,false,159,1,3,3,0,c1,null
41,false,159,2,3,3,0,g2,null
41,false,159,3,3,3,0,g1,null
41,false,160,0,3,3,0,g1,null
41,false,160,1,3,3,0,g2,null
41,false,160,2,3,3,0,c2,null
41,false,160,3,3,3,0,c1,null
41,true,0,0,3,1,0,g2,right
41,false,161,0,3,1,0,c2,null
41,false,161,1,3,1,0,c1,null
41,false,161,2,3,1,0,g2,null
41,false,161,3,3,1,0,g1,null
41,false,162,0,3,1,0,c2,null
41,false,162,1,3,1,0,c1,null
41,false,162,2,3,1,0,g1,null
41,false,162,3,3,1,0,g2,null
41,false,163,0,3,1,0,c2,null
41,false,163,1,3,1,0,g2,null
41,false,163,2,3,1,0,c1,null
41,false,163,3,3,1,0,g1,null
41,false,164,0,3,1,0,g2,null
41,false,164,1,3,1,0,c1,null
41,false,164,2,3,1,0,c2,null
41,false,164,3,3,1,0,g1,null
41,false,165,0,3,1,0,c1,null
41,false,165,1,3,1,0,g1,null
41,false,165,2,3,1,0,g2,null
41,false,165,3,3,1,0,c2,null
41,false,166,0,3,1,0,g2,null
41,false,166,1,3,1,0,g1,null
41,false,166,2,3,1,0,c1,null
41,false,166,3,3,1,0,c2,null
41,false,167,0,3,1,0,c2,null
41,false,167,1,3,1,0,g2,null
41,false,167,2,3,1,0,c1,null
41,false,167,3,3,1,0,g1,null
41,false,168,0,3,1,0,g1,null
41,false,168,1,3,1,0,g2,null
41,false,168,2,3,1,0,c2,null
41,false,168,3,3,1,0,c1,null
41,false,169,0,3,1,0,g1,null
41,false,169,1,3,1,0,c1,null
41,false,169,2,3,1,0,c2,null
41,false,169,3,3,1,0,g2,null
